C:\Users\guru\Desktop\udacity_self_driving\IMG\center_2019_10_25_16_44_32_628.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\left_2019_10_25_16_44_32_628.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\right_2019_10_25_16_44_32_628.jpg, 0, 0, 0, 8.192161E-05
C:\Users\guru\Desktop\udacity_self_driving\IMG\center_2019_10_25_16_44_32_781.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\left_2019_10_25_16_44_32_781.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\right_2019_10_25_16_44_32_781.jpg, 0, 0, 0, 8.24658E-05
C:\Users\guru\Desktop\udacity_self_driving\IMG\center_2019_10_25_16_44_32_910.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\left_2019_10_25_16_44_32_910.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\right_2019_10_25_16_44_32_910.jpg, 0, 0, 0, 8.394625E-05
C:\Users\guru\Desktop\udacity_self_driving\IMG\center_2019_10_25_16_44_33_049.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\left_2019_10_25_16_44_33_049.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\right_2019_10_25_16_44_33_049.jpg, 0, 0, 0, 8.068843E-05
C:\Users\guru\Desktop\udacity_self_driving\IMG\center_2019_10_25_16_44_33_183.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\left_2019_10_25_16_44_33_183.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\right_2019_10_25_16_44_33_183.jpg, 0, 0, 0, 8.143811E-05
C:\Users\guru\Desktop\udacity_self_driving\IMG\center_2019_10_25_16_44_33_309.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\left_2019_10_25_16_44_33_309.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\right_2019_10_25_16_44_33_309.jpg, 0, 0, 0, 8.071506E-05
C:\Users\guru\Desktop\udacity_self_driving\IMG\center_2019_10_25_16_44_33_434.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\left_2019_10_25_16_44_33_434.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\right_2019_10_25_16_44_33_434.jpg, 0, 0, 0, 8.203284E-05
C:\Users\guru\Desktop\udacity_self_driving\IMG\center_2019_10_25_16_44_33_541.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\left_2019_10_25_16_44_33_541.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\right_2019_10_25_16_44_33_541.jpg, 0, 0, 0, 8.369752E-05
C:\Users\guru\Desktop\udacity_self_driving\IMG\center_2019_10_25_16_44_33_678.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\left_2019_10_25_16_44_33_678.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\right_2019_10_25_16_44_33_678.jpg, 0, 0, 0, 8.095839E-05
C:\Users\guru\Desktop\udacity_self_driving\IMG\center_2019_10_25_16_44_33_808.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\left_2019_10_25_16_44_33_808.jpg, C:\Users\guru\Desktop\udacity_self_driving\IMG\right_2019_10_25_16_44_33_808.jpg, 0, 0, 0, 8.112947E-05
